labels,titles
no,"Pertengahan Oktober, Festival Tenun Ulos Digelar di Tapanuli Utara"
clickbait,Sepak Terjang PLI dan Modal Nekad Marcellus Chandra
clickbait,Angel Pieters Ikut Senang Lihat Jokowi dan Prabowo Pelukan di Asian Games 2018
clickbait,The Libertines dan All Time Low Jadi Andalan Hodgepodge Superfest 2018
no,Gudang Garam Telah Kucurkan Rp 1 Triliun Untuk Bandara Kediri
clickbait,"Kelola APBD Kota Bogor, Bima Arya Mengaku Belajar dari Jokowi"
clickbait,Bocah Surabaya Jadi Juara Dunia Lomba Gambar Mobil
no,"Kalahkan Kento Momota, Anthony Sinisuka Ginting ke Perempat Final"
clickbait,"Atlet Pencak Silat Raih Emas, Prabowo dan Jokowi Berpelukan"
clickbait,Si Quvroy - Beli Bintang
no,Mitsubishi Paling Memuaskan Pelanggan Versi JD Power 2018
clickbait,"Lepas Insinyur Muda ke Lombok, Basuki: Jangan Minta Dilayani"
clickbait,Pemilik Otot Kuat Mempunyai Harapan Hidup Lebih lama?
no,"Buron 6 Tahun, Terduga Kasus Korupsi Ditangkap KPK Seusai Pulang Haji"
no,Perancis Larang Pembasmian Lebah Penyerbuk Pakai Pestisida
clickbait,Agen Ronaldo Kecewa Modric yang Jadi Pemain Terbaik Eropa
clickbait,"Gandeng 4 Seniman, Havaianas Lelang Sepatu Custom untuk Lombok"
no,"Soal Suntikan Dana dari APBN, BPJS Kesehatan Tunggu Menkeu"
no,"Tak Bisa Berenang, Bocah Kelas 5 SD Tenggelam di Irigasi Kalimalang"
no,Darmin soal B20: Sudah Kita Kunyah-kunyah Persoalan Ini Selama 2 Tahun Lebih
clickbait,Istri Delon Sebut Penyakitnya Timbul gara-gara Konflik Rumah Tangga
no,Plt Wali Kota Malang Diperiksa KPK untuk Kasus Korupsi 22 Anggota DPRD
clickbait,"Minta Maaf, Guru yang Unggah Foto Jokowi-Mega dengan Logo PKI"
no,Citilink Segera Buka Rute Baru dari Bandara Kertajati
clickbait,"Siang Nanti, Bawaslu Bacakan Nasib Pencalonan Taufik"
no,"Hanifan Yudani Kalahkan Pesilat Vietnam, Indonesia Raih Emas Ke-29"
no,"Ada Pengerjaan Jembatan, Waspada Kemacetan di Cikampek"
clickbait,Penggila Makeup Bisa Gunakan Hingga 16 Produk Makeup dalam Sehari
clickbait,Berbagi Buku hingga ke Pelosok Indonesia...
no,"Disetujui, PMD PT Food Station Tjipinang untuk Perbaiki Jalan Pasar Induk Beras"
clickbait,"Menteri Rini Minta Kurangi Impor, Apa Strategi Bos Baru Pertamina?"
no,Dirut BEI: Investor Lokal Topang Pasar Saham
clickbait,"Klasemen Perolehan Medali Asian Games 2018, Rekor Indonesia"
no,Sri Mulyani Waspadai Rupiah yang Sentuh Rp 14.700 Per Dollar AS
no,BPJS Kesehatan Gandeng Bank Syariah Mandiri untuk Pembiayaan Faskes
clickbait,HIVI! Ingin Kembali ke Zaman Kejayaan Musik Indonesia di Album Ketiga
no,Konsumen Korban Pengembang Nakal Bisa Lapor ke REI
no,"Soal Ketua Tim Kampanye, Ma'ruf Amin Ingin Sosok yang Tak Menimbulkan Resistensi"
clickbait,"Gagal Dikelola, Taipei Living Mall Bakal Dijual"
no,BPJS Kesehatan Siapkan Pengganti Obat Kanker Payudara Trastuzumab
clickbait,"Berburu ""Seafood"" Murah di Osaka"
clickbait,"""Jam Ini Tahan Banting, Beradu dengan 'Dumbbell' Enggak Apa-apa..."""
clickbait,Tangis Haru Warnai Raihan Medali Pertama Korea Bersatu di Asian Games
no,Nikon Rilis Kamera DSLR Teringan D3500
no,Gregoria Mariska Akui Kesulitan Ladeni Permainan Pusarla Sindhu
no,Festival Cross Border Malaka 2018 Hibur Warga lewat Seni Budaya
clickbait,"Pengendalian 900 Komoditas Impor Dinilai Lebih sebagai ""Announcement Effect"""
clickbait,Melihat Kondisi Waduk Rorotan yang Menyeret Kadis SDA sebagai Tersangka
clickbait,Angel Pieters Santai Hadapi Komentar Pedas Warganet
no,Tontowi Ahmad/Liliyana Natsir Melangkah ke Semifinal
no,Nepal Puji Kesiapan Indonesia Gelar Asian Games 2018
clickbait,"Bagaimana ""Hangover"" Setelah Mabuk Berat Memengaruhi Otak Kita?"
clickbait,Afgan Janjikan Kejutan untuk Upacara Penutupan Asian Games 2018
no,"Diperpanjang hingga Asian Para Games, Ganjil-Genap Tak Berlaku Sabtu Minggu"
clickbait,"Ingin Tuntut Pengembang, Lakukan Beramai-ramai"
clickbait,Asian Games 2018 Ajang Pembuktian Tunggal Putra Indonesia
no,Bernard Dinata Bermaksud Kawinkan Gaya Bermusik Amerika dengan Asia
clickbait,7 Fakta Tentang Gempa Berkekuatan M 7 yang Kembali Guncang Lombok
clickbait,Sandiaga Kerap Pakai Kemeja Biru atas Saran Putra Prabowo
no,"Polisi Bekuk 4 Pencuri Spesialis Rumah Kosong di Bekasi, Terancam 7 Tahun Penjara"
clickbait,"Realme 2, Ponsel Perdana Setelah Lepas dari Oppo"
no,DPR: Aturan Iklan Produk Tak Boleh Diskriminatif
clickbait,"""Booming"" E-commerce, ATR Bikin Pesawat Kargo"
clickbait,10 Penyebab Depresi yang Paling Umum
clickbait,4 Rahasia Mencerahkan Wajah Dengan Garam Dapur
clickbait,"Capek Pacaran, Vidi Aldiano Cari Partner Hidup"
no,Rupiah kembali Terpuruk ke Rp 14.655 Per Dollar AS
no,Jepang Ajak Uber dan Boeing Kembangkan Mobil Terbang
clickbait,Ini Lokasi Selam Bagi yang Pertama Kali ke TN Komodo
no,Yoshi Sudarso Rela Bolak-balik Indonesia-Amerika demi Karier
clickbait,Terpopuler: Bola di Trotoar hingga Tarif Tol Jakarta-Cikampek
no,Hari Ini Terakhir Bebas Denda Pajak Kendaraan
no,Wiro Sableng Diserbu 187 Ribu Penonton pada Hari Pertama Pemutaran
no,BI: Pengembangan Pariwisata Salah Satu Langkah Stabilisasi Rupiah
no,Kawasan Konservasi Diharapkan Menopang Perekonomian Daerah
no,"Menkominfo Minta Para Pendukung Capres Tak ""Baperan"""
clickbait,"GP Inggris Dibatalkan, Marquez Tak Pedulikan Poin"
no,"Bawaslu: Alih-alih Menarik Simpati, Gerakan #2019GantiPresiden Bisa Timbulkan Antipati"
no,"Hingga Akhir 2018, KFC Targetkan Buka 55 Gerai Baru"
clickbait,Mengenal Sesar Naik Flores dan Amukannya yang Picu Serial Gempa Lombok
no,2 Putra Jokowi Buka Gerai Makanan di Batam
no,"Kecewa dengan Juri, Atlet Pencak Silat Malaysia Rusak Ruang Atlet"
clickbait,"""Digertak"" Ombudsman, Puan Jamin Profesional meski Jadi Timses Jokowi"
no,Karyawan Perusahaan BUMN Ditangkap karena Diduga Menculik Anak
clickbait,"Ditinggal Penghuninya, Desa Ini Berubah Jadi Hotel"
no,"Tahun Depan, Tol 1.852 Kilometer Dijanjikan Terbangun"
clickbait,Kapten Tim Voli Putri Indonesia Kagum dengan Semangat Rekan Setim
no,"Sebut Kata Idiot saat ""Ngevlog"", Ahmad Dhani Dilaporkan ke Polisi"
clickbait,"Riset Internasional di Indonesia, Siapa yang Untung?"
no,"Bahas Denuklirisasi, Korea Selatan Kirim Utusan Khusus ke Pyongyang"
clickbait,Turis Malaysia Suka Pantai dan Kuliner Banyuwangi
clickbait,Fakta Baru soal Drama Pembatalan MotoGP Inggris
no,"Bulan Depan, Bawa Uang Kertas Asing di Atas Rp 1 Miliar Didenda"
clickbait,"Bukan Putri Diana, Ini Aktris yang Jadi Inspirasi Berbusana Meghan"
no,BTPN Syariah Kembangkan Inklusi Keuangan Melalui Nasabah Perempuan
no,"Kata Ketum PAN, sejak Awal Tak Ada Mahar dari Sandiaga"
clickbait,"Donny Fattah ""God Bless"" Terkejut Dapat Kabar Faldy Albar Meninggal"
clickbait,18 Artis Internasional Siap Ramaikan Hodgepodge Superfest 2018
clickbait,Beban Vino G Bastian Perankan Wiro Sableng
no,"Jadwal Siaran Langsung Asian Games 2018, Indonesia Vs Uni Emirat Arab"
clickbait,Beragam Keseruan yang Akan Disajikan Hodgepodge Superfest 2018
clickbait,"Jokowi Tiba-tiba Inspeksi Proyek Dana Desa di Yogyakarta, Ini Komentarnya"
no,Soft Tenis Incar Medali Beregu
no,5 Obyek Wisata Wajib Dikunjungi di Sumatera Utara selain Kota Medan
clickbait,Cerita Rizky Febian dan Kegemarannya Berburu Sneakers...
clickbait,"Pilihan Wisata Akhir Pekan di Jakarta dan Sekitarnya, Pilih Mana?"
clickbait,Cara Mengakses Ponsel Android Tanpa Password
clickbait,Ingin Bergaya Bak Pakai Sandal? Ada Havaianas Siluet Espradrilles
clickbait,"Makan Siang Bareng, Daesung BIGBANG Beri Wejangan Penyanyi Bernard Dinata"
clickbait,"""Semi Precious"", Arloji Olivia Burton yang Memberi Energi Positif"
no,Lahan yang Bikin Kadis SDA DKI Jadi Tersangka Sudah Dijadikan Waduk
clickbait,"Konsultan Sarankan Beli Apartemen Seken Sekarang, Harga BU"
clickbait,Punya Rp 100 Jutaan Bisa Beli Mobil Bekas Apa Saja?
clickbait,Bagaimana Stres Memengaruhi Pola Tidur?
clickbait,Gelora Bandung Lautan Api Akan seperti Stadion di Inggris atau Spanyol
no,"Libur Usai, Semen Padang Geber Latihan untuk Hadapi Persita"
no,ITB Kirimkan Instlasi Pengolahan Air untuk Gempa Lombok
clickbait,"Kemenangan ""Jojo"" dan 4 Pelajaran untuk Anak dari Asian Games"
no,Diler Nissan-Datsun Ke-105 Berdiri di Bekasi
clickbait,Tak Ingin Gemuk dan Lemah? Ahli Sarankan Kurangi Begadang
no,"Lagi, Fariz RM Ditangkap Polisi karena Dugaan Narkoba"
no,"Sakit, Ketua KPU Kabupaten TTS Meninggal Dunia"
no,Buron Kasus Perdagangan Orang Tertangkap di Tanjungbalai
clickbait,Lenovo Rilis ThinkPad X1 Extreme Penantang MacBook Pro
clickbait,Mitsubishi Pamerkan Keunggulan Xpander ke Masyarakat Surabaya
no,Daihatsu Ambil Bagian di GIIAS Makassar
clickbait,"Mengulas Masalah ""Bug"" Kamera di Pocophone F1"
clickbait,3 Langkah Nyata Mewujudkan Bisnis Berbasis Teknologi
no,"Ribut dengan Polisi, Pengacara Neno Warisman Diamankan"
clickbait,"Kue Bulan Berkulit Lembut dengan Rasa Kekinian, Coba di Sini"
clickbait,"Terkaya di Planet Bumi, Ini yang Dilakukan Bos Amazon untuk Habiskan Uangnya"
clickbait,Yamaha MT-25 Punya Warna Baru
clickbait,"Anies: Jakarta Jadi Perhatian, Partai Tak Akan Main-main Calonkan Nama Wagub DKI"
no,Pemerintah Luncurkan Mandatori Perluasan Penggunaan B20
clickbait,"Total Garap 3 Proyek Baru Senilai Rp 2,6 Triliun"
no,"Rupiah Kembali Melemah, BI Tingkatkan Intervensi di Pasar Valas"
no,Prajurit TNI Peraih Emas Asian Games Disambut Bak Pahlawan di Markas Kodam
no,Kementerian BUMN Diminta Tak Buru-buru Copot Dirut Pertamina
clickbait,"Naik Vespa, Bupati Kendal Buka Kali Bodri Culture Festival"
no,Basuki Dorong Industri Jasa Konstruksi Tingkatkan Ekspor
clickbait,Hindari Depresi dengan Mengenal Kesehatan Mental Sejak Dini
clickbait,"Pernah Kena Bullying, Vidi Aldiano dan Sheryl Sheinafia Bikin Lagu"
clickbait,Diet Rendah Karbohidrat Bisa Sebabkan Kematian Dini?
no,"Dua Hari IHSG Tertekan, BEI Harap Tidak Bertahan Lama"
no,Samsung Galaxy Note 9 Resmi Dijual di Indonesia
clickbait,Berburu Oleh-oleh di Karanglo...
no,Haornas Masih Bawa Semangat Asian Games
no,Wali Kota Depok Sebut Tak Tahu Kebijakan Nur Mahmudi soal Proyek Jalan Nangka
no,Stasiun Luar Angkasa Internasional Sempat Alami Kebocoran Udara
no,Kementerian PUPR Sarankan Konsumen K2 Park Lapor Polisi
no,Festival Lomba Seni Siswa Nasional Dibuka Hari Ini
clickbait,Rumah Unik dengan Kisi Jendela Multifungsi
clickbait,Inikah Tanggal Peluncuran iPhone 2018?
no,Menhub: Pelaku Industri Dukung Pembangunan Rel Ganda Sukabumi-Bogor
clickbait,"Yeslin Wang: Kalau Tak Salah Dokter, Mungkin Saya Masih Bertahan dengan Delon"
clickbait,"Mahar Politik Sandiaga Tak Terbukti, Andi Arief Sebut Komisioner Bawaslu Pemalas"
no,"Bantu Bayar Utang Negara, Raja Malaysia Batalkan Perayaan Ulang Tahun"
clickbait,"Vinales Tercepat, Tito Rabat Cedera di FP4 MotoGP Inggris"
clickbait,Gempa Lombok: Bukan Sekadar Retaknya Jalanan dan Runtuhnya Rumah Halaman 1
no,Son Heung-min Optimistis Korea Selatan Sabet Medali Emas Asian Games
no,"Tim Panjat Tebing Beri 2 Emas, Total Indonesia Raih 22 Medali Emas"
no,KPK Dalami Pertemuan Sejumlah Hakim Terkait Kasus Suap Hakim PN Medan
clickbait,Navas Klaim Lebih Dipercaya Lopetegui daripada Courtois di Real Madrid
no,"Rupiah Melemah, Rini Minta BUMN Jaga Pendapatan Dollar AS"
clickbait,Menengok Tampilan Baru Lobi Gedung Tertinggi Ke-5 di Amerika
clickbait,Ingin Atasi Lemak Perut? Coba Terapkan Pola Diet ini...
no,"Meski Efisiensi, BPJS Kesehatan Pastikan Pelayanan Faskes Maksimal"
clickbait,"Alat Transportasi, Kunci Generasi Milenial Punya Tabungan Sejak Dini"
clickbait,Gunungkidul Perkenalkan Destinasi Wisata Baru dengan Trail
clickbait,"Michael Jackson, Inspirasi Di Balik Sneakers Bling-Bling Rp 18 Juta"
no,UangTeman Targetkan Penyaluran Dana Pinjaman Rp 1 Triliun
no,Jadwal dan Aturan Main Cabor Game Bola PES 2018 di Asian Games
clickbait,Siwon Super Junior Terlihat Joging di Kawasan Sabang
clickbait,Seorang Prajurit AS Mengaku Telah Bersumpah Setia pada ISIS
clickbait,"Selain Risha, Ada Rika untuk Korban Gempa Lombok"
no,Pengembang Properti yang Ingkar Janji Bisa Didaftarhitamkan
no,Bandara Kualanamu Akan Punya Hotel Bintang 3
clickbait,Mengamankan Aset dan Status Tersangka Kadis SDA DKI
no,UGM: Membumikan Pancasila di Generasi Muda Indonesia
no,HIVI! Siapkan Single Baru dari Album Ketiga
no,Anggaran Program Satu Juta Rumah Terbatas
no,Angel Pieters Fokus di Pendidikan Sebelum Kembali ke Musik
no,Eminem Mengisi Soundtrack Film Venom
clickbait,Perubahan pada Kursi Penonton di Istora Senayan demi Asian Games
no,Binus Ajak 8 Ribu Mahasiswa Baru Menjadi Manusia Pembelajar
clickbait,3 Skutik Bekas yang Paling Laris
clickbait,"Jalan-jalan di Pantai, Keluarga Inggris Temukan Penyu ""Zombie"" Jumbo"
no,Taiwan Eksekusi Mati Pelaku Pembunuhan Mantan Istri dan Anak
no,Facebook Janji Sepenuhnya Pakai Energi Terbarukan pada 2020
clickbait,"Wah, Bisa Nostalgia Permainan 'Jadul' di Bandara Soekarno-Hatta"
clickbait,"Tak Hanya Mabuk, Istri Yama Carlos Juga Mengaku Sering Berkata Kasar"
clickbait,"Pesan Wanita via BeeTalk, Mahasiswa Palembang Tertipu dan Lapor Polisi"
clickbait,Ada yang Dibuktikan Dul Jaelani dengan Merilis Singel Taklukkan Dunia
no,Dirut Pertamina: 60 Terminal BBM Siap Pasok B20 ke SPBU
clickbait,"Bunuh Waria Saat Akan Diperkosa, Remaja Ini Divonis 13 Tahun Penjara"
no,FLS2N Berikan Kesempatan Sama Siswa Berkebutuhan Khusus
clickbait,Foto Bos Xiaomi Menunggang Motor Jadi Kontroversi
clickbait,3 Pantai Paling Populer di Aceh Utara dan Kota Lhokseumawe
no,Penembak Polisi di Tol Kanci-Pejagan Balas Dendam karena Mertuanya Ditangkap
no,"Sampai Juli 2018, Wika Gedung Raup Kontrak Baru Rp 5,96 Triliun"
clickbait,Kadis SDA DKI soal Status Tersangka: Saya Amankan Aset Itu Perintah dari Pak Ahok
no,DKI Klaim Perluasan Ganjil-Genap Selama Asian Games Sukses
no,Australia Larang Dua Vendor China Gelar Jaringan 5G
no,Menko Darmin: Pelemahan Rupiah karena Krisis Argentina
clickbait,"Garuda Gelar Online Travel Fair, 3 Juta ""Seat"" Diskon Sampai 75 Persen"
clickbait,Menyantap Makanan Kaki Lima di Mal Bintang Lima
clickbait,Banyak yang Tidak Menyangka The Sacred Riana Gagal di America's Got Talent
no,"Sebelum Upacara Penutupan, Atlet Indonesia Sudah Terima Bonus"
no,Polri Kerahkan 9.422 Personel untuk Amankan Penutupan Asian Games 2018
no,BI Resmikan Gedung Kantor Perwakilan di Bangka Belitung
no,"Keyboard ""Gboard"" Tembus 1 Miliar Unduhan di Play Store"
clickbait,"Xiaomi Poco F1 Resmi Meluncur, Ponsel Snapdragon 845 Termurah"
no,Wisata Paralayang Cocok Dikembangkan di Pegunungan Arfak Papua Barat
no,Petani Didorong Produksi Komoditas Hortikultura Berkualitas Ekspor
no,"Lakukan Pelecehan Seksual, Mahasiswa Diborgol di Bagasi Kereta"
clickbait,PD Pasar Jaya Bantah Ukuran Kios seperti Kuburan
no,Renovasi Bangunan Cagar Budaya Harus Ekstra Hati-hati
clickbait,Galaxy S10 Akan Pakai Sensor Sidik Jari dalam Layar?
no,Kemenpora Terus Gali Potensi Pemuda Wirausaha
clickbait,Bangka Belitung Promosikan Dua Calon Pahlawan Nasional
clickbait,"OJK Coret 5 Fintech Bermasalah, Ini Namanya"
no,Huawei Mate 20 Lite Meluncur dengan 4 Kamera
clickbait,"Pecinta ""Kustom"" Bikin Heboh Solo Raya"
clickbait,Betapa Berbahayanya Lemak Perut
no,Layanan dan Fasilitas Wisma Atlet Asian Games 2018 Dipuji Atlet Asing
clickbait,"Mampir ke Sun Flowers Garden, Ada Lokasi Swafoto"
clickbait,5 Negara yang Paling Terdampak Jatuhnya Mata Uang Negara Berkembang
clickbait,Afgan Gemetar Saat Foto Bareng Nick Jonas dan Priyanka Chopra
no,"Album BTS, Love Yourself: Answer, Merajai Billboard 200"
no,"McKinsey: Tahun 2022, Pasar E-Commerce Indonesia Capai Rp 955 Triliun"
clickbait,"Di Helsinki, Ada Museum Unik Bawah Tanah"
clickbait,"Hadiri Jambore 4x4 di Sarawak, MJI Turing Keliling Kalimantan"
clickbait,"Kenalkan, Honda C70 ""Papa Jahat"" Bermesin 600 cc"
clickbait,Biawak Sepanjang 2 Meter Meneror Sebuah Keluarga di Florida
clickbait,"Hasil Liga Spanyol, Diwarnai Rekor Karim Benzema dan Lionel Messi"
clickbait,6 Hal yang Dilakukan Orang Sukses di Akhir Pekan
clickbait,"6 Perubahan Gaya Hidup, Kunci Pengobatan Asam Urat di Rumah"
clickbait,Dari Pulau Kambing Terbitlah Pasir Belabuh di Fakfak Papua
clickbait,"Asian Games 2018 Berakhir, Siwon Super Junior Sampaikan Pesan"
clickbait,Nasib Brio Lawas di Pasar Mobil Bekas
no,Garuda Indonesia Resmikan Dua Rute Baru Intra Jawa-Sumatera
clickbait,Hilangnya Budaya Malu di Jalan Raya
clickbait,Gaya Putra Jokowi dengan Motor Custom Terbarunya
clickbait,3 Investasi Jangka Pendek yang Paling Menguntungkan
no,Mereka yang Punya Otot Kuat Lebih Berpeluang Panjang Umur
clickbait,Penyakit Menular yang Sering Terjadi di Sekolah
no,"Dari GBK, Super Junior dan iKON Langsung Bertolak ke Korea"
clickbait,"Baru 18 Tahun, Atlet Jepang Jadi yang Tersukses di Asian Games 2018"
no,Menristek Harap Karya Ilmiah Mahasiswa jadi Inovasi
no,"Hasil Akhir Medali Asian Games, Indonesia Lewati Target, China Juara"
clickbait,"Intip Desain Atraktif Bak Mandi ala ""Hammock"""
clickbait,Rendy Pandugo Minta Maaf kepada Penonton Hodgepodge Superfest
clickbait,Mitsubishi Beberkan Masa Depan Xpander di Indonesia
clickbait,"Jack Ma Bertemu dengan Menteri-menteri, Ini yang Dibicarakan"
no,"Kuartal III 2018, Ekonomi Kepri Diprediksi Melambat"
clickbait,Berita Populer: BI Rekrut Pegawai Baru hingga Larangan Bawa Uang Kertas Rp 1 Miliar
no,"Mobil CRV Hantam Warung, Pengemudi Mengaku Diancam Ditembak Brimob"
clickbait,"""Panitianya Persiapannya Hebat, Sampai Siapkan Jas Hujan Bening buat Atlet"""
clickbait,Mengenal Olahan Mangrove untuk Oleh-oleh...
no,"TBM Kolong ""Flyover"" Ciputat Rangkul Anak Punk untuk Hapus Kesan Negatif"
no,2 Ponsel Android One Motorola Resmi Meluncur
no,Senjata Tajam Disita dari Belasan Remaja yang Diduga Hendak Tawuran
no,Produksi Ayam Ras 2018 Nasional Surplus
clickbait,Ucapan Selamat Ulang Tahun Jungkook BTS Dominasi Twitter
clickbait,All Time Low Dapat Lemparan Mi Instan di Hodgepodge Superfest
no,"Ingat, Perluasan Ganjil-Genap Masih Berlaku sampai 13 Oktober"
clickbait,"Gairah Seks Lenyap Saat Hamil, Normalkah?"
clickbait,5 Kebiasaan di Kantor yang Bisa Memperparah Diabetes
clickbait,Duduk Kelamaan Bisa Menimbulkan Masalah pada Saluran Kemih?
clickbait,5 Cara Efektif Bersihkan Kaca
no,Ganjil-Genap Tidak Berlaku saat Akhir Pekan dan Libur Nasional
clickbait,"Berita Terpopuler Nusantara, Soal Dana Bantuan Gempa Lombok hingga Jokowi Nobar Penutupan Asian Games"
no,Kementan Klaim Sukses Kembangkan Lahan Kering di Banten
clickbait,10.000 Tusuk Bakso Bakar Gratis Diserbu Warga Malang
no,Lorenzo Tercepat di Sesi Tes Aragon
clickbait,"Sneakers BTS x Puma Basket, Dibanderol dengan Harga Rp 1,3 Juta-an"
clickbait,"Stadion Rp 5,5 Triliun Siap Sambut Asian Games 2022"
clickbait,Mesin Ninja 150 Paling Pas buat Gokart
clickbait,"Nyawa Baru ""Lagi Syantik"" Siti Badriah di Penutupan Asian Games 2018"
clickbait,"Rumah Kita dan Terbang, dari GIGI untuk Upacara Penutupan Asian Games 2018"
no,Pengamat: Sudah Diduga Kasus Dugaan Mahar Politik Bakal Hilang Ditelan Bumi
clickbait,Kedai Udon Khas Sanuki Jepang nan Instagramable Hadir di Jakarta
clickbait,Twitter Bakal Bawa Fitur yang Sudah Ada di Instagram
clickbait,"Klasemen Perolehan Medali Asian Games 2018, 4 Besar Tak Tergeser"
no,Persetujuan Rehabilitasi Narkoba Richard Muljadi Ditentukan Setelah Proses Assesment
clickbait,"Hasil Liga Inggris, Lukaku Menangkan Manchester United atas Burnley"
clickbait,Mantan Komisioner Geram Lihat Kerja Bawaslu Usut Dugaan Mahar Politik
no,Ahli: Puntung Rokok Lebih Merusak Lingkungan Ketimbang Sedotan Plastik
clickbait,"Ko Tang, Pangkas Rambut Pembawa Hoki dari Glodok"
no,Medali Emas Ke-31 Indonesia Datang dari Sepak Takraw Putra
no,"Kerusuhan di Libya, 400 Tahanan Melarikan Diri dari Penjara"
clickbait,Coba Nikmati Sunset di Sisi Gunung dan Hutan Bakau Manado
clickbait,Jamnas Great Corolla Club Indonesia Dapat Rekor MURI
clickbait,Mencari Cinta di Pesawat Bukan Isapan Jempol..
clickbait,Kanye West Balas Ejekan Soal Pakai Sandal Kekecilan dengan Cara Unik
clickbait,10 Hal yang Tak Boleh Dilakukan Saat Kurang Tidur
clickbait,"Wajib Baca, Pesawat Terbesar di Dunia dan Harga Wisma Atlet Kemayoran"
clickbait,Derai Hujan Iringi Suara Merdu Isyana Sarasvati di Penutupan Asian Games 2018
clickbait,Suzuki Perkenalkan Wagon R Edisi Khusus
clickbait,Harapan atas Perpanjangan Ganjil-Genap...
no,Pelemahan Rupiah Tak Untungkan Eksportir Kopi
clickbait,Jalan Panjang Pembangunan Kesehatan di Papua Barat
clickbait,Kronologi Pesta Pernikahan Berujung Maut hingga 6 Orang Terluka Bakar Parah
clickbait,"Hasil GP Italia dan Klasemen F1, Lewis Hamilton Kian Menjauh"
clickbait,Perang Dagang AS-China Bisa Picu Krisis Ekonomi Global?
no,Antarmuka Pocophone F1 Bisa Diunduh di Play Store
no,"Klasemen Perolehan Medali Asian Games 2018, Indonesia Finis Ke-4"
clickbait,Honda akan Bawa CR-V Hybrid ke Indonesia?
clickbait,"Hasil Liga Spanyol, Barcelona Pesta 8 Gol di Camp Nou"
clickbait,Seekor Lumba-Lumba Ditemukan Berkomunikasi dengan Spesies Lain
no,Daftar Lengkap Susunan Acara Penutupan Asian Games 2018
clickbait,Efek Buruk dari Posisi Tidur Menyamping
clickbait,Inikah Tanggal Peluncuran Nokia 6.1 Plus di Indonesia?
clickbait,"Berkunjung ke Hangzhou, Tuan Rumah Asian Games 2022"
clickbait,Erdogan: Kita Harus Secara Bertahap Kurangi Monopoli Dollar AS...
clickbait,"Touring Jakarta-Himalaya, Gunadi Banyak Dicegat Bikers Sumatera"
no,"Abaikan Perang Dagang, Ekonomi India Kuartal II Melaju 8,2 Persen"
clickbait,"Kabar Gembira, Ditemukan Vaksin untuk Atasi Jerawat"
clickbait,Bos Djarum Bambang Hartono Raih Perunggu di Asian Games Uang Bonusnya untuk Ini...
no,Apple Watch Series 4 Punya Bodi Ramping dan Layar Lebih Lebar
clickbait,"“Wholesales” Turun Januari-Juli 2018, Honda Tanpa Revisi"
clickbait,Apakah Penyakit Asam Urat Bisa Sembuh?
clickbait,"Keunikan Pulau Arguni, Dari Atap Rumah Beda hingga Banyak Kambing..."
clickbait,"Suhu Ekstrem ""Panggang"" Lebih dari 2.000 Ikan di Pantai Malibu, AS"
clickbait,Pee Wee Gaskins Ajak Penonton Hodgepodge Superfest Bernostalgia
no,"Hari Kedua di Lombok, Presiden Hadiri Apel dan Tinjau Rehabilitasi Bangunan"
clickbait,"Dapat Kartu Merah, Marcus Rashford Minta Maaf"
no,Pakar Perkirakan Bangkok akan Tenggelam 10 Tahun Mendatang
clickbait,"Lea Simanjuntak dan Bams ""Eks Samsons"" Antar Pemadaman Api Asian Games 2018"
clickbait,The Brandals Tampil Enerjik di Hodgepodge Superfest 2018
clickbait,Kenapa Melihat Foto Makanan Bisa Bikin Lapar?
clickbait,"Prestasi Indonesia di Asian Games 2018: Bukti Praktik ""Sport Science""? Halaman 1"
no,Anies Baswedan Sudah Siapkan Bonus untuk Atlet Asian Games 2018
no,"Terganggu Hujan, Penampilan Gallant Terhenti 30 Menit"
clickbait,"7 Cara Ini Bisa Diterapkan ""Startup"" untuk Mendapatkan Investor"
clickbait,Menelusuri Jejak Pangkas Rambut Garut..
clickbait,Soft Animal Tampil Gahar di Hodgepodge Superfest 2018
clickbait,"Ponsel Gaming Honor Play Resmi Dirilis, Harga Rp 4 Jutaan"
no,Udon Dingin Kurang Diminati Orang Indonesia
clickbait,Makan 7 Buah Ini agar Tak Sembelit
clickbait,Harapan terhadap Polwan di Usianya yang Ke-70 Tahun
clickbait,Suriah Sebut Bukan Israel yang Ledakkan Bandara Militer Mazze
clickbait,Terminal Baru Bandara Svarnabhumi Dilengkapi Hutan dan Air Terjun
clickbait,"Bukan BMI, Ilmuwan Buat Ukuran Baru untuk Ukur Lemak Tubuh"
clickbait,"Hasil Liga Inggris, Liverpool, Chelsea, dan Watford Masih Sempurna"
clickbait,"Stroke Ringan Menyerang Segala Usia, Kenali Gejala dan Pencegahannya"
clickbait,"Ilmuwan Temukan ""Bom Waktu"" di Bawah Samudra Arktik"
clickbait,"""Brexit,"" Panasonic Pindahkan Kantor dari Inggris ke Belanda"
no,"Huawei Rilis Kirin 980, Chip 7 nm Komersil Pertama"
clickbait,"Meghan Markle Punya Anjing Baru, Labrador Hitam Bernama Oz"
no,Pertamina Akan Perluas Penerapan Pembayaran Nontunai di SPBU
clickbait,"Hasil Liga Spanyol, Real Madrid dan Atletico Beda Nasib"
no,Arsitek Dubai Rancang Pembersih Udara untuk Delhi
clickbait,"Belut Goreng Tepung, Camilan Khas Malang yang Bikin Nagih"
